Date,Heure,Humidite
17-04-2024,09:59:48,48.4
17-04-2024,10:27:30,49.8
17-04-2024,10:27:36,49.1
17-04-2024,10:27:41,48.2
17-04-2024,10:27:46,47.5
17-04-2024,10:27:52,46.9
17-04-2024,10:27:57,46.4
17-04-2024,10:28:02,45.9
17-04-2024,10:28:08,45.5
17-04-2024,10:28:13,45.1
17-04-2024,10:28:18,44.7
17-04-2024,10:28:24,44.4
17-04-2024,10:28:29,44.1
17-04-2024,10:28:34,43.9
17-04-2024,10:28:40,43.7
17-04-2024,10:28:45,43.4
17-04-2024,10:28:50,43.3
17-04-2024,10:28:58,43.0
17-04-2024,10:29:04,42.8
17-04-2024,10:29:09,42.6
17-04-2024,10:29:15,42.4
17-04-2024,10:29:20,42.3
17-04-2024,10:29:25,42.0
17-04-2024,10:29:31,41.8
17-04-2024,10:29:36,41.7
17-04-2024,10:29:41,41.6
17-04-2024,10:29:47,41.7
17-04-2024,10:29:52,41.6
17-04-2024,10:29:57,41.6
17-04-2024,10:30:03,41.5
17-04-2024,10:30:08,41.4
17-04-2024,10:30:14,41.3
17-04-2024,10:30:19,41.4
17-04-2024,10:30:24,41.3
17-04-2024,10:36:09,31.2
17-04-2024,10:36:14,32.4
17-04-2024,10:36:19,32.4
17-04-2024,10:36:25,32.1
17-04-2024,10:36:30,31.9
17-04-2024,10:36:35,31.8
17-04-2024,10:36:41,31.6
17-04-2024,10:36:46,31.5
17-04-2024,10:36:51,31.4
17-04-2024,10:36:57,31.2
17-04-2024,10:37:02,31.2
17-04-2024,10:37:08,31.1
17-04-2024,10:37:13,31.1
17-04-2024,10:37:18,31.1
17-04-2024,10:37:24,31.3
17-04-2024,10:37:29,31.3
17-04-2024,10:37:35,31.3
17-04-2024,10:37:40,31.3
17-04-2024,10:37:45,31.3
17-04-2024,10:37:51,31.4
17-04-2024,10:37:56,31.4
17-04-2024,10:38:01,31.5
17-04-2024,10:38:07,31.5
17-04-2024,10:38:12,31.5
17-04-2024,10:38:18,31.6
17-04-2024,10:38:23,31.7
17-04-2024,10:38:28,31.9
17-04-2024,10:38:34,32.0
17-04-2024,10:38:39,32.0
17-04-2024,10:38:44,32.1
17-04-2024,10:38:50,32.1
17-04-2024,10:38:55,32.2
17-04-2024,10:39:01,32.2
17-04-2024,10:39:06,32.3
17-04-2024,10:39:11,32.3
17-04-2024,10:39:17,32.3
17-04-2024,10:39:22,32.4
17-04-2024,10:39:27,32.5
17-04-2024,10:39:33,32.5
17-04-2024,10:39:38,32.5
17-04-2024,10:39:44,32.6
17-04-2024,10:39:49,32.6
17-04-2024,10:39:54,32.6
17-04-2024,10:40:00,32.7
17-04-2024,10:40:05,32.9
17-04-2024,10:40:11,32.9
17-04-2024,10:40:16,33.0
17-04-2024,10:40:22,33.0
17-04-2024,10:40:27,33.1
17-04-2024,10:40:32,33.2
17-04-2024,10:40:38,33.2
17-04-2024,10:40:43,33.2
17-04-2024,10:40:49,33.2
17-04-2024,10:40:54,33.6
17-04-2024,10:40:59,33.7
17-04-2024,10:41:05,33.8
17-04-2024,10:41:10,33.9
17-04-2024,10:41:16,34.0
17-04-2024,10:41:21,34.0
17-04-2024,10:41:26,34.0
17-04-2024,10:41:32,34.0
17-04-2024,10:41:37,34.1
17-04-2024,10:41:43,34.1
17-04-2024,10:41:48,34.1
17-04-2024,10:41:53,34.0
17-04-2024,10:41:59,34.0
17-04-2024,10:42:04,34.0
17-04-2024,10:42:10,34.1
17-04-2024,10:42:15,34.2
17-04-2024,10:42:20,34.5
17-04-2024,10:42:26,35.2
17-04-2024,10:42:31,35.2
17-04-2024,10:42:37,35.1
17-04-2024,10:42:42,35.1
17-04-2024,10:42:47,35.0
17-04-2024,10:42:53,34.9
17-04-2024,10:42:58,35.0
17-04-2024,10:43:04,34.9
17-04-2024,10:43:10,34.9
17-04-2024,10:43:15,34.9
17-04-2024,10:43:20,34.8
17-04-2024,10:43:26,34.7
17-04-2024,10:43:31,34.7
17-04-2024,10:43:37,34.6
17-04-2024,10:43:42,34.7
17-04-2024,10:43:47,34.6
17-04-2024,10:43:53,34.6
17-04-2024,10:43:58,34.6
17-04-2024,10:44:04,34.6
17-04-2024,10:44:09,34.6
17-04-2024,10:44:14,34.6
17-04-2024,10:44:20,34.7
17-04-2024,10:44:25,34.8
17-04-2024,10:44:31,34.8
17-04-2024,10:44:36,35.2
17-04-2024,10:44:42,35.2
17-04-2024,10:44:47,35.0
17-04-2024,10:44:52,35.0
17-04-2024,10:44:58,35.1
17-04-2024,10:45:03,35.5
17-04-2024,10:45:09,35.6
17-04-2024,10:45:14,35.6
17-04-2024,10:45:20,35.6
17-04-2024,10:45:25,35.5
17-04-2024,10:45:31,35.5
17-04-2024,10:51:36,37.6
17-04-2024,10:51:41,37.1
17-04-2024,10:51:47,36.7
17-04-2024,10:51:52,36.3
17-04-2024,10:51:57,35.9
17-04-2024,10:52:03,35.6
17-04-2024,10:52:09,35.4
17-04-2024,10:52:14,35.3
17-04-2024,10:52:20,35.1
17-04-2024,10:52:25,35.1
17-04-2024,10:52:30,35.0
17-04-2024,10:52:36,35.0
17-04-2024,10:52:41,34.9
17-04-2024,10:52:47,34.8
17-04-2024,10:52:52,34.7
17-04-2024,10:52:58,34.7
17-04-2024,10:53:03,34.6
17-04-2024,10:53:09,34.5
17-04-2024,10:53:14,34.5
17-04-2024,10:53:19,34.4
17-04-2024,10:53:25,34.4
17-04-2024,10:53:30,34.5
17-04-2024,10:54:29,35.4
17-04-2024,10:54:34,35.3
17-04-2024,10:54:39,35.0
17-04-2024,10:54:45,34.8
17-04-2024,10:54:50,34.7
17-04-2024,10:54:55,34.6
17-04-2024,10:55:01,34.6
17-04-2024,10:55:06,34.5
17-04-2024,10:55:11,34.4
17-04-2024,10:55:17,34.3
17-04-2024,10:55:22,34.2
17-04-2024,10:55:27,34.1
17-04-2024,10:55:33,34.1
17-04-2024,10:55:38,34.1
17-04-2024,10:55:44,34.0
17-04-2024,10:55:49,34.0
17-04-2024,10:55:54,33.9
17-04-2024,10:56:00,34.0
17-04-2024,10:56:05,34.0
17-04-2024,10:56:10,33.9
17-04-2024,10:56:16,33.9
17-04-2024,10:56:21,33.9
17-04-2024,10:56:27,33.8
17-04-2024,11:01:24,36.0
17-04-2024,11:01:29,35.5
17-04-2024,11:01:35,35.2
17-04-2024,11:01:40,35.0
17-04-2024,11:01:46,34.7
17-04-2024,11:01:51,34.5
17-04-2024,11:01:56,34.4
17-04-2024,11:02:02,34.2
17-04-2024,11:02:07,34.1
17-04-2024,11:02:13,34.0
17-04-2024,11:02:18,33.9
17-04-2024,11:02:23,33.8
17-04-2024,11:02:29,33.8
17-04-2024,11:02:34,33.8
17-04-2024,11:02:40,33.7
17-04-2024,11:02:45,33.7
17-04-2024,11:02:50,33.6
17-04-2024,11:02:56,33.6
17-04-2024,11:03:01,33.6
17-04-2024,11:03:07,33.6
17-04-2024,11:05:45,34.5
17-04-2024,11:05:51,34.5
17-04-2024,11:05:56,34.5
17-04-2024,11:06:02,34.4
17-04-2024,11:06:07,34.4
17-04-2024,11:06:13,34.3
17-04-2024,11:06:18,34.3
17-04-2024,11:06:23,34.2
17-04-2024,11:06:29,34.2
17-04-2024,11:06:34,34.2
17-04-2024,11:06:40,34.2
17-04-2024,11:06:45,34.2
17-04-2024,11:06:50,34.1
17-04-2024,11:06:56,34.1
17-04-2024,11:35:11,33.7
17-04-2024,11:35:16,33.9
17-04-2024,11:35:21,34.1
17-04-2024,11:35:27,34.1
17-04-2024,11:35:32,34.1
17-04-2024,11:35:38,34.2
17-04-2024,11:50:54,33.8
17-04-2024,12:29:59,33.5
22-04-2024,09:41:34,29.1
22-04-2024,09:41:40,29.1
22-04-2024,09:41:45,29.1
22-04-2024,09:41:51,29.1
22-04-2024,09:41:56,29.1
22-04-2024,09:42:01,29.0
22-04-2024,09:42:34,27.9
22-04-2024,09:42:39,27.9
22-04-2024,09:42:45,27.8
22-04-2024,09:42:50,27.7
22-04-2024,09:42:56,27.7
22-04-2024,09:43:01,27.7
22-04-2024,09:43:07,27.7
22-04-2024,09:43:12,27.7
22-04-2024,09:43:17,27.7
22-04-2024,09:43:23,27.7
22-04-2024,09:43:28,27.6
22-04-2024,09:43:34,27.5
22-04-2024,09:43:39,27.5
22-04-2024,09:43:45,27.4
22-04-2024,09:43:50,27.3
22-04-2024,09:43:55,27.3
22-04-2024,09:44:01,27.2
22-04-2024,09:44:06,27.2
22-04-2024,09:44:12,27.1
22-04-2024,09:44:17,27.1
22-04-2024,09:44:23,27.1
22-04-2024,09:44:28,27.1
22-04-2024,09:44:34,27.1
22-04-2024,09:44:39,27.0
22-04-2024,09:46:40,28.6
22-04-2024,09:46:45,28.3
22-04-2024,09:46:51,28.0
22-04-2024,09:46:56,27.9
22-04-2024,09:47:02,27.7
22-04-2024,09:47:07,27.7
22-04-2024,09:47:13,27.6
22-04-2024,09:47:18,27.5
22-04-2024,09:47:24,27.4
22-04-2024,09:47:29,27.3
22-04-2024,09:48:52,27.0
22-04-2024,09:48:57,27.0
22-04-2024,09:49:03,26.9
22-04-2024,09:49:08,26.9
22-04-2024,09:49:14,26.9
22-04-2024,09:49:19,26.9
22-04-2024,09:49:25,26.9
22-04-2024,09:49:30,26.9
22-04-2024,09:49:36,26.9
22-04-2024,09:49:41,27.0
22-04-2024,09:49:46,27.1
22-04-2024,09:49:52,27.0
22-04-2024,09:49:57,26.9
22-04-2024,09:50:03,26.9
22-04-2024,09:50:08,26.9
22-04-2024,09:54:39,25.8
22-04-2024,09:54:44,25.8
22-04-2024,09:54:50,25.8
22-04-2024,09:54:55,25.8
22-04-2024,09:55:01,25.8
22-04-2024,09:55:06,25.8
22-04-2024,09:59:37,25.8
22-04-2024,09:59:43,25.8
22-04-2024,09:59:48,25.8
22-04-2024,09:59:54,25.8
22-04-2024,09:59:59,25.7
22-04-2024,10:00:05,25.6
22-04-2024,10:00:10,25.6
22-04-2024,10:00:16,25.6
22-04-2024,10:00:22,25.6
22-04-2024,10:00:27,25.6
22-04-2024,10:00:33,25.6
22-04-2024,10:00:38,25.6
22-04-2024,10:00:44,25.6
22-04-2024,10:00:49,25.6
22-04-2024,10:00:55,25.6
22-04-2024,10:01:00,25.6
22-04-2024,10:01:06,25.5
22-04-2024,10:01:11,25.5
22-04-2024,10:01:17,25.5
22-04-2024,10:01:22,25.5
22-04-2024,10:01:28,25.5
22-04-2024,10:01:33,25.5
22-04-2024,10:01:39,25.5
22-04-2024,10:01:44,25.5
22-04-2024,10:01:59,25.5
22-04-2024,10:02:05,25.5
22-04-2024,10:02:10,25.6
22-04-2024,10:02:16,25.6
22-04-2024,10:02:21,25.6
22-04-2024,10:02:27,25.6
22-04-2024,10:02:32,25.6
22-04-2024,10:02:38,25.6
22-04-2024,10:02:43,25.6
22-04-2024,10:02:49,25.6
22-04-2024,10:02:54,25.6
22-04-2024,10:03:00,25.6
22-04-2024,10:03:05,25.6
22-04-2024,10:03:10,25.6
22-04-2024,10:03:16,25.6
22-04-2024,10:03:21,25.5
22-04-2024,10:03:27,25.5
22-04-2024,10:03:33,25.4
22-04-2024,10:03:38,25.5
22-04-2024,10:03:43,25.5
22-04-2024,10:03:49,25.5
22-04-2024,10:03:54,25.5
22-04-2024,10:04:00,25.5
22-04-2024,10:04:05,25.5
22-04-2024,10:04:11,25.6
22-04-2024,10:04:16,25.6
22-04-2024,10:04:21,25.5
22-04-2024,10:04:27,25.5
22-04-2024,10:04:32,25.5
22-04-2024,10:05:05,25.4
22-04-2024,10:05:11,25.6
22-04-2024,10:05:16,25.8
22-04-2024,10:05:21,25.8
22-04-2024,10:05:27,25.8
22-04-2024,10:05:32,25.8
22-04-2024,10:05:38,25.8
22-04-2024,10:05:43,25.8
22-04-2024,10:05:48,25.7
22-04-2024,10:05:54,25.6
22-04-2024,10:05:59,25.6
22-04-2024,10:06:05,25.5
22-04-2024,10:06:10,25.4
22-04-2024,10:06:15,25.4
22-04-2024,10:06:23,25.4
22-04-2024,10:06:28,25.4
22-04-2024,10:06:33,25.4
22-04-2024,10:06:39,25.3
22-04-2024,10:06:45,25.2
22-04-2024,10:06:50,25.2
22-04-2024,10:06:55,25.2
22-04-2024,10:07:01,25.2
22-04-2024,10:07:06,25.2
22-04-2024,10:07:12,25.2
22-04-2024,10:07:17,25.4
22-04-2024,10:07:22,25.4
22-04-2024,10:07:28,25.4
22-04-2024,10:07:33,25.4
22-04-2024,10:07:39,25.3
22-04-2024,10:07:44,25.2
22-04-2024,10:07:49,25.2
22-04-2024,10:07:55,25.2
22-04-2024,10:08:00,25.1
22-04-2024,10:08:06,25.1
22-04-2024,10:08:11,25.1
22-04-2024,10:08:16,25.1
22-04-2024,10:08:22,25.0
22-04-2024,10:08:27,25.0
22-04-2024,10:08:33,25.0
22-04-2024,10:08:38,25.0
22-04-2024,10:08:44,24.9
22-04-2024,10:08:49,24.9
22-04-2024,10:08:54,24.9
22-04-2024,10:09:00,24.9
22-04-2024,10:09:05,24.9
22-04-2024,10:09:11,24.9
22-04-2024,10:09:16,24.9
22-04-2024,10:09:22,24.9
22-04-2024,10:09:27,24.9
22-04-2024,10:09:32,25.0
22-04-2024,10:09:38,25.0
22-04-2024,10:09:44,25.0
22-04-2024,10:09:49,24.9
22-04-2024,10:09:54,24.9
22-04-2024,10:10:00,24.9
22-04-2024,10:10:05,25.0
22-04-2024,10:10:11,25.0
22-04-2024,10:10:16,24.9
22-04-2024,10:10:22,24.9
22-04-2024,10:10:27,24.9
22-04-2024,10:10:32,24.9
22-04-2024,10:10:38,24.9
22-04-2024,10:10:58,24.9
22-04-2024,10:11:03,24.9
22-04-2024,10:11:09,24.9
22-04-2024,10:11:14,24.9
22-04-2024,10:11:19,24.9
22-04-2024,10:11:25,24.9
22-04-2024,10:11:30,24.9
22-04-2024,10:11:36,24.9
22-04-2024,10:11:41,24.9
22-04-2024,10:11:47,24.9
22-04-2024,10:11:52,24.9
22-04-2024,10:11:58,24.9
22-04-2024,10:13:01,24.8
22-04-2024,10:13:06,24.8
22-04-2024,10:13:12,24.8
22-04-2024,10:13:17,24.9
22-04-2024,10:13:23,24.9
22-04-2024,10:13:28,24.9
22-04-2024,10:13:34,24.8
22-04-2024,10:13:39,24.8
22-04-2024,10:13:45,24.9
22-04-2024,10:13:50,24.9
22-04-2024,10:13:56,24.9
22-04-2024,10:14:01,24.9
22-04-2024,10:14:07,25.0
22-04-2024,10:14:12,25.0
22-04-2024,10:14:18,25.0
22-04-2024,10:14:23,25.0
22-04-2024,10:14:29,25.0
22-04-2024,10:14:34,25.0
22-04-2024,10:14:40,25.1
22-04-2024,10:14:45,25.1
22-04-2024,10:14:50,25.0
22-04-2024,10:14:56,25.0
22-04-2024,10:15:01,25.0
22-04-2024,10:15:07,25.0
22-04-2024,10:15:12,25.0
22-04-2024,10:15:18,25.0
22-04-2024,10:15:23,24.9
22-04-2024,10:15:29,24.9
22-04-2024,10:15:34,24.9
22-04-2024,10:15:40,24.8
22-04-2024,10:15:54,24.7
22-04-2024,10:15:59,24.7
22-04-2024,10:16:05,24.7
22-04-2024,10:16:10,24.7
22-04-2024,10:16:16,24.7
22-04-2024,10:16:21,24.7
22-04-2024,10:16:27,24.7
22-04-2024,10:16:32,24.7
22-04-2024,10:16:38,24.7
22-04-2024,10:16:44,24.7
22-04-2024,10:16:49,24.7
22-04-2024,10:16:55,24.7
22-04-2024,10:17:00,24.8
22-04-2024,10:17:06,25.0
22-04-2024,10:17:11,25.0
22-04-2024,10:17:17,25.0
22-04-2024,10:17:22,24.9
22-04-2024,10:17:28,24.9
22-04-2024,10:17:33,24.8
22-04-2024,10:17:38,24.7
22-04-2024,10:17:44,24.7
22-04-2024,10:17:55,24.6
22-04-2024,10:18:00,24.6
22-04-2024,10:18:06,24.6
22-04-2024,10:18:11,24.6
22-04-2024,10:18:17,24.6
22-04-2024,10:18:22,24.6
22-04-2024,10:18:28,24.5
22-04-2024,10:18:33,24.5
22-04-2024,10:18:39,24.5
22-04-2024,10:18:44,24.5
22-04-2024,10:18:50,24.5
22-04-2024,10:18:55,24.6
22-04-2024,10:19:01,24.6
22-04-2024,10:19:06,24.5
22-04-2024,10:19:12,24.5
22-04-2024,10:19:17,24.5
22-04-2024,10:19:23,24.5
22-04-2024,10:19:29,24.5
22-04-2024,10:19:34,24.5
22-04-2024,10:19:40,24.5
22-04-2024,10:19:45,24.5
22-04-2024,10:19:51,24.5
22-04-2024,10:19:56,24.5
22-04-2024,10:20:02,24.5
22-04-2024,10:20:07,24.5
22-04-2024,10:20:12,24.5
22-04-2024,10:20:18,24.5
22-04-2024,10:20:23,24.5
22-04-2024,10:20:29,24.5
22-04-2024,10:20:34,24.5
22-04-2024,10:20:39,24.5
22-04-2024,10:20:45,24.5
22-04-2024,10:20:50,24.5
22-04-2024,10:20:56,24.5
22-04-2024,10:21:01,24.5
22-04-2024,10:21:07,24.5
22-04-2024,10:21:12,24.5
22-04-2024,10:21:17,24.5
22-04-2024,10:21:23,24.5
22-04-2024,10:21:28,24.5
22-04-2024,10:21:34,24.6
22-04-2024,10:21:39,24.6
22-04-2024,10:21:45,24.6
22-04-2024,10:21:50,24.5
22-04-2024,10:21:55,24.5
22-04-2024,10:22:01,24.5
22-04-2024,10:22:06,24.5
22-04-2024,10:22:12,24.5
22-04-2024,10:22:17,24.5
22-04-2024,10:22:23,24.5
22-04-2024,10:22:28,24.5
22-04-2024,10:22:34,24.5
22-04-2024,10:22:39,24.5
22-04-2024,10:22:45,24.5
22-04-2024,10:22:50,24.5
22-04-2024,10:22:56,24.5
22-04-2024,10:23:01,24.5
22-04-2024,10:23:06,24.5
22-04-2024,10:23:12,24.5
22-04-2024,10:23:17,24.5
22-04-2024,10:23:23,24.5
22-04-2024,10:23:28,24.5
22-04-2024,10:23:34,24.5
22-04-2024,10:23:39,24.5
22-04-2024,10:23:44,24.5
22-04-2024,10:23:50,24.5
22-04-2024,10:23:55,24.5
22-04-2024,10:24:01,24.5
22-04-2024,10:24:06,24.5
22-04-2024,10:27:16,24.6
22-04-2024,10:27:21,24.6
22-04-2024,10:27:27,24.7
22-04-2024,10:27:32,24.7
22-04-2024,10:27:37,24.7
22-04-2024,10:27:43,24.7
22-04-2024,10:27:48,24.9
22-04-2024,10:27:54,25.0
22-04-2024,10:27:59,25.0
22-04-2024,10:28:04,24.9
22-04-2024,10:28:10,24.9
22-04-2024,10:28:15,24.8
22-04-2024,10:28:21,24.7
22-04-2024,10:28:26,24.7
22-04-2024,10:28:32,24.7
22-04-2024,10:28:37,24.7
22-04-2024,10:28:43,24.7
22-04-2024,10:28:48,24.9
22-04-2024,10:28:54,24.9
22-04-2024,10:28:59,24.9
22-04-2024,10:29:04,24.8
22-04-2024,10:29:10,24.8
22-04-2024,10:29:15,24.8
22-04-2024,10:29:21,24.7
22-04-2024,10:29:26,24.7
22-04-2024,10:29:31,24.7
22-04-2024,10:29:37,24.7
22-04-2024,10:29:42,24.7
22-04-2024,10:29:48,24.7
22-04-2024,10:29:53,24.7
22-04-2024,10:29:58,24.8
22-04-2024,10:30:04,24.8
22-04-2024,10:30:09,24.8
22-04-2024,10:30:15,24.7
22-04-2024,10:30:20,24.7
22-04-2024,10:30:25,24.7
22-04-2024,10:30:31,24.7
22-04-2024,10:30:36,24.6
22-04-2024,10:30:42,24.6
22-04-2024,10:30:47,24.6
22-04-2024,10:30:53,24.6
22-04-2024,10:30:58,24.6
22-04-2024,10:31:03,24.6
22-04-2024,10:31:09,24.5
22-04-2024,10:31:14,24.5
22-04-2024,10:31:20,24.5
22-04-2024,10:31:26,24.5
22-04-2024,10:31:31,24.6
22-04-2024,10:31:36,24.6
22-04-2024,10:31:42,24.5
22-04-2024,10:31:47,24.5
22-04-2024,10:31:53,24.5
22-04-2024,10:31:58,24.5
22-04-2024,10:32:04,24.5
22-04-2024,10:32:09,24.5
22-04-2024,10:32:14,24.5
22-04-2024,10:32:20,24.5
22-04-2024,10:32:25,24.5
22-04-2024,10:32:31,24.4
22-04-2024,10:32:36,24.3
22-04-2024,10:32:42,24.3
22-04-2024,10:32:47,24.3
22-04-2024,10:32:53,24.4
22-04-2024,10:32:58,24.4
22-04-2024,10:33:03,24.4
22-04-2024,10:33:09,24.4
22-04-2024,10:33:14,24.4
22-04-2024,10:33:20,24.4
22-04-2024,10:33:25,24.4
22-04-2024,10:33:31,24.4
22-04-2024,10:33:36,24.4
22-04-2024,10:33:42,24.4
22-04-2024,10:33:47,24.4
22-04-2024,10:33:52,24.4
22-04-2024,10:33:58,24.4
22-04-2024,10:34:03,24.4
22-04-2024,10:34:09,24.3
22-04-2024,10:34:15,24.3
22-04-2024,10:34:20,24.3
